Type;FPL1026;
Version;1.90SP1;
Date;29.Dec 2023;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1000000000.000000;Hz
Freq Offset;0.000000;Hz
Start;0.000000;Hz
Stop;2000000000.000000;Hz
Span;2000000000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Rf Att;13.000000;dB
El Att;0.000000;dB
RBW;1000000.000000;Hz
VBW;1000000.000000;Hz
SWT;0.004000;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;VIEW;
1042000000;-75.97516632080078125;-111.73381805419921875
1044000000;-74.07576751708984375;-86.07059478759765625
1046000000;-75.0793914794921875;-100.236175537109375
1048000000;-69.942291259765625;-88.254547119140625
1050000000;-69.86769866943359375;-96.2717437744140625
1052000000;-75.9928741455078125;-109.24920654296875
1054000000;-73.17118072509765625;-93.9374237060546875
1056000000;-75.50079345703125;-97.400299072265625
1058000000;-69.31958770751953125;-81.20755767822265625
1060000000;-71.5722198486328125;-94.82683563232421875
1062000000;-71.51712799072265625;-103.70261383056640625
1064000000;-72.940277099609375;-98.80370330810546875
1066000000;-71.004180908203125;-100.13204193115234375
1068000000;-69.4828338623046875;-87.72711944580078125
1070000000;-71.2381591796875;-104.8872222900390625
1072000000;-72.632568359375;-97.73558807373046875
1074000000;-73.55356597900390625;-87.278076171875
1076000000;-72.5246124267578125;-91.3605499267578125
1078000000;-72.620941162109375;-95.134918212890625
1080000000;-73.980804443359375;-101.9577178955078125
1082000000;-70.52458953857421875;-100.7501068115234375
1084000000;-72.32782745361328125;-105.74616241455078125
1086000000;-72.5712890625;-92.77907562255859375
1088000000;-72.36472320556640625;-110.74390411376953125
1090000000;-73.78277587890625;-111.00543212890625
1092000000;-71.7158203125;-118.496002197265625
1094000000;-71.2438201904296875;-99.03797149658203125
1096000000;-72.175201416015625;-88.57463836669921875
