Type;FPL1026;
Version;1.90SP1;
Date;03.Jan 2024;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1016487360.000000;Hz
Freq Offset;0.000000;Hz
Start;75295360.000000;Hz
Stop;1957679360.000000;Hz
Span;1882384000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Rf Att;13.000000;dB
El Att;0.000000;dB
RBW;1000000.000000;Hz
VBW;1000000.000000;Hz
SWT;0.003770;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
1005193056;-74.17360687255859375;-92.55730438232421875
1007075440;-73.93903350830078125;-92.33879852294921875
1008957824;-74.19773101806640625;-90.9890594482421875
1010840208;-74.5058135986328125;-100.00140380859375
1012722592;-76.91571807861328125;-103.7247467041015625
1014604976;-71.88707733154296875;-106.0237274169921875
1016487360;-71.8568267822265625;-93.7566986083984375
1018369744;-72.04187774658203125;-106.67557525634765625
1020252128;-73.22802734375;-103.85665130615234375
1022134512;-72.7602081298828125;-88.1695404052734375
1024016896;-73.646026611328125;-105.18964385986328125
1025899280;-70.88829803466796875;-108.089202880859375
1027781664;-74.674072265625;-90.05365753173828125
1029664048;-70.98311614990234375;-92.9884490966796875
1031546432;-73.47322845458984375;-103.41339874267578125
1033428816;-72.22461700439453125;-91.92389678955078125
1035311200;-72.2747650146484375;-92.73590850830078125
1037193584;-40.052974700927734375;-88.6132354736328125
1039075968;-25.108570098876953125;-62.826816558837890625
1040958352;-63.982074737548828125;-98.6968231201171875
1042840736;-73.70829010009765625;-99.32996368408203125
1044723120;-74.8969573974609375;-113.21387481689453125
1046605504;-72.7914886474609375;-90.575927734375
